Year,Month,Day,Date,Open,High,Low,Close,Adj Close,Volume
2000,11,13,2000-11-13,30.219998999999998,30.219998999999998,30.219998999999998,30.219998999999998,20.98102,0
2000,11,14,2000-11-14,31.01,31.01,31.01,31.01,21.529501,0
2000,11,15,2000-11-15,31.200001,31.200001,31.200001,31.200001,21.661413,0
2000,11,16,2000-11-16,30.700001,30.700001,30.700001,30.700001,21.314264,0
2000,11,17,2000-11-17,30.559998999999998,30.559998999999998,30.559998999999998,30.559998999999998,21.217072,0
2000,11,20,2000-11-20,29.84,29.84,29.84,29.84,20.717195999999998,0
2000,11,21,2000-11-21,29.85,29.85,29.85,29.85,20.724133,0
2000,11,22,2000-11-22,29.24,29.24,29.24,29.24,20.300615,0
2000,11,24,2000-11-24,29.83,29.83,29.83,29.83,20.710245,0
2000,11,27,2000-11-27,29.93,29.93,29.93,29.93,20.779675,0
2000,11,28,2000-11-28,29.459999,29.459999,29.459999,29.459999,20.453364999999998,0
2000,11,29,2000-11-29,29.51,29.51,29.51,29.51,20.488079,0
2000,11,30,2000-11-30,28.93,28.93,28.93,28.93,20.085398,0
2000,12,01,2000-12-01,29.08,29.08,29.08,29.08,20.189545000000003,0
2000,12,04,2000-12-04,29.190001000000002,29.190001000000002,29.190001000000002,29.190001000000002,20.265907000000002,0
2000,12,05,2000-12-05,30.48,30.48,30.48,30.48,21.161528,0
2000,12,06,2000-12-06,29.950001,29.950001,29.950001,29.950001,20.793571,0
2000,12,07,2000-12-07,29.790001,29.790001,29.790001,29.790001,20.682478,0
2000,12,08,2000-12-08,30.59,30.59,30.59,30.59,21.237896,0
2000,12,11,2000-12-11,30.959999,30.959999,30.959999,30.959999,21.494778,0
2000,12,12,2000-12-12,30.65,30.65,30.65,30.65,21.279551,0
2000,12,13,2000-12-13,30.32,30.32,30.32,30.32,21.05044,0
2000,12,14,2000-12-14,29.799999,29.799999,29.799999,29.799999,20.689421,0
2000,12,15,2000-12-15,29.23,29.23,29.23,29.23,20.29368,0
2000,12,18,2000-12-18,29.440001000000002,29.440001000000002,29.440001000000002,29.440001000000002,20.439476000000003,0
2000,12,19,2000-12-19,28.98,28.98,28.98,28.98,20.120113,0
2000,12,20,2000-12-20,27.799999,27.799999,27.799999,27.799999,19.420828,0
2000,12,21,2000-12-21,27.950001,27.950001,27.950001,27.950001,19.525616,0
2000,12,22,2000-12-22,28.790001,28.790001,28.790001,28.790001,20.112438,0
2000,12,26,2000-12-26,28.969998999999998,28.969998999999998,28.969998999999998,28.969998999999998,20.238173,0
2000,12,27,2000-12-27,29.360001,29.360001,29.360001,29.360001,20.510626000000002,0
2000,12,28,2000-12-28,29.629998999999998,29.629998999999998,29.629998999999998,29.629998999999998,20.69924,0
2000,12,29,2000-12-29,29.26,29.26,29.26,29.26,20.440770999999998,0
2001,01,02,2001-01-02,28.280001000000002,28.280001000000002,28.280001000000002,28.280001000000002,19.756147,0
2001,01,03,2001-01-03,29.76,29.76,29.76,29.76,20.790062,0
2001,01,04,2001-01-04,29.389999,29.389999,29.389999,29.389999,20.531578,0
2001,01,05,2001-01-05,28.540001,28.540001,28.540001,28.540001,19.93778,0
2001,01,08,2001-01-08,28.459999,28.459999,28.459999,28.459999,19.881892999999998,0
2001,01,09,2001-01-09,28.610001,28.610001,28.610001,28.610001,19.986673,0
2001,01,10,2001-01-10,29.02,29.02,29.02,29.02,20.273101999999998,0
2001,01,11,2001-01-11,29.41,29.41,29.41,29.41,20.545547,0
